"name","digits","M","monomorphemic","curr_bases","number_addition_max","number_subtraction_max","phrase_subtraction","multiplier","exceptions"
"mandarin","[1,2,3,4,5,6,7,8,9]","[10]","[]","[100,10]","[100,10]","[]","[]","[]","[]"
"abun","[1,2,3,4,5,6,7,8,9]","[10]","[]","[100,10]","[100,10]","[]","[]","[10]","[]"
"tagalog","[1,2,3,4,5,6,7,8,9]","[10]","[]","[100,10]","[100,10]","[]","[]","[]","[[[10,11],10,'(1 * 10)']]"
"hindi","[1,2,3,4,5,6,7,8,9]","[10]","[]","[100,10]","[80,9,100,10]","[80,2]","[]","[]","[]"
"greek","[1,2,3,4,5,6,7,8,9]","[10]","[20]","[100,10]","[100,10]","[]","[]","[]","[]"
"garo","[1,2,3,4,5,6,7,8,9]","[10]","[20]","[20,10,40,20,100,10]","[20,10,40,20,100,10]","[]","[]","[20,30]","[]"
"yakut","[1,2,3,4,5,6,7,8,9]","[10]","[20,30]","[100,10]","[100,10]","[]","[]","[]","[]"
"english","[1,2,3,4,5,6,7,8,9]","[10]","[11,12]","[100,10]","[100,10]","[]","[]","[]","[]"
"russian","[1,2,3,4,5,6,7,8,9]","[10]","[40]","[100,10]","[100,10]","[]","[]","[]","[]"
"turkish","[1,2,3,4,5,6,7,8,9]","[10]","[20,30,40,50]","[100,10]","[100,10]","[]","[]","[]","[]"
"cahuilla","[1,2,3,4]","[5,10]","[]","[100,10]","[10,5,100,10]","[]","[]","[]","[]"
"fulfulde","[1,2,3,4]","[5,10]","[]","[100,10]","[100,10]","[]","[]","[]","[]"
"kunama","[1,2,3,4]","[5,10]","[]","[100,10]","[10,4,100,9]","[2]","[]","[]","[]"
"kayahli","[1,2]","[3,4,10]","[5]","[8,3,10,4,100,10]","[8,3,10,4,100,10]","[]","[]","[]","[]"
"quileute","[1,2,3,4]","[5,10]","[]","[8,5,100,10]","[8,5,100,8]","[100,3]","[]","[]","[]"
"kannada","[1,2,3,4,5,6,7,8]","[10]","[]","[100,10]","[100,9]","[100,2]","[]","[]","[]"
"khanty","[1,2,3,4,5,6,7,8]","[10]","[20]","[100,10]","[100,9]","[100,2]","[]","[]","[]"
"georgian","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[100,20]","[100,20]","[]","[]","[]","[]"
"ingush","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[100,20]","[20,9,100,20]","[20,2]","[]","[]","[]"
"abkhaz","[1,2,3,4,5,6,7,8,9]","[10]","[]","[30,10,100,20]","[30,10,100,20]","[]","[]","[]","[]"
"huave","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[100,20]","[100,20]","[]","[]","[20,40]","[]"
"lezgian","[1,2,3,4,5,6,7,8,9]","[10,20]","[40]","[100,20]","[100,20]","[]","[]","[]","[]"
