"name","digits","bases","monomorphemics","curr_bases","number_addition_max","number_subtraction_max","phrase_subtraction","exceptions"
"mandarin","[1,2,3,4,5,6,7,8,9]","[10]","[]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[]"
"abun","[1,2,3,4,5,6,7,8,9]","[10]","[]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[[10,[10,20],'(1 * 10)']]"
"tagalog","[1,2,3,4,5,6,7,8,9]","[10]","[]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[[10,[10,11],'(1 * 10)']]"
"hindi","[1,2,3,4,5,6,7,8,9]","[10]","[]","[[[10,100],10]]","[[[10,80],9],[[80,100],10]]","[[[10,80],2]]","[]","[]"
"greek","[1,2,3,4,5,6,7,8,9]","[10]","[20]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[]"
"garo","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[[[10,20],10],[[20,30],20],[[30,40],30],[[40,100],10]]","[[[10,100],10]]","[]","[]","[[20,[20,30],'(1 * 20)'],[30,[30,40],'(20 + 10)']]"
"yakut","[1,2,3,4,5,6,7,8,9]","[10]","[20,30]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[]"
"english","[1,2,3,4,5,6,7,8,9]","[10]","[11,12]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[]"
"russian","[1,2,3,4,5,6,7,8,9]","[10]","[40]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[]"
"turkish","[1,2,3,4,5,6,7,8,9]","[10]","[20,30,40,50]","[[[10,100],10]]","[[[10,100],10]]","[]","[]","[]"
"cahuilla","[1,2,3,4]","[5,10]","[]","[[[5,10],5],[[10,100],10]]","[[[5,10],5],[[10,100],10]]","[]","[]","[]"
"kunama","[1,2,3,4]","[5,10]","[]","[[[5,9],5],[[9,100],10]]","[[[5,9],5],[[9,100],10]]","[[[5,10],2]]","[]","[]"
"kayahli","[1,2,3,4]","[5,10]","[]","[[[5,10],5],[[10,100],10]]","[[[5,10],5],[[10,100],10]]","[]","[]","[[6,[1,100],'(2 * 3)'],[7,[1,100],'((2 * 3) + 1)'],[8,[1,100],'(2 * 4)'],[9,[1,100],'((2 * 4) + 1)']]"
"quileute","[1,2,3,4]","[5,10]","[]","[[[5,8],5],[[8,100],10]]","[[[5,8],5],[[8,100],10]]","[[[5,10],3]]","[]","[]"
"tarahumara","[1,2,3,4,5,6,7]","[10]","[]","[[[1,100],10]]","[[[1,10],9],[[10,100],10]]","[[[1,10],2]]","[]","[[8,[1,100],'(2 * 4)']]"
"kannada","[1,2,3,4,5,6,7,8]","[10]","[]","[[[1,100],10]]","[[[1,10],9],[[10,100],10]]","[[[1,10],2]]","[]","[]"
"khanty","[1,2,3,4,5,6,7,8]","[10]","[20]","[[[1,100],10]]","[[[10,80],9],[[80,100],10]]","[[[1,100],2]]","[]","[]"
"georgian","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[[[10,20],10],[[20,100],20]]","[[[10,20],10],[[20,100],20]]","[]","[]","[]"
"ingush","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[[[10,20],10],[[20,100],20]]","[[[10,20],9],[[20,100],20]]","[[[10,20],2]]","[]","[]"
"abkhaz","[1,2,3,4,5,6,7,8,9]","[10]","[]","[[[10,30],10],[[30,100],20]]","[[[10,30],10],[[30,100],20]]","[]","[]","[]"
"huave","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[[[10,20],10],[[20,100],20]]","[[[10,20],10],[[20,100],20]]","[]","[]","[[20,[20,40],'(1 * 20)']]"
"lezgian","[1,2,3,4,5,6,7,8,9]","[10,20]","[40]","[[[10,20],10],[[20,100],20]]","[[[10,20],10],[[20,100],20]]","[]","[]","[]"
"yucatec","[1,2,3,4,5,6,7,8,9]","[10,20]","[11]","[[[10,20],10],[[20,100],20]]","[[[10,20],10],[[20,100],20]]","[]","[]","[[10,[10,11,20],'(1 * 10)'],[20,[20,40],'(1 * 20)']]"
"mixtecA","[1,2,3,4,5,6,7,8,9]","[10,15,20]","[]","[[[10,15],10],[[15,20],15],[[20,100],20]]","[[[10,15],10],[[15,20],15],[[20,100],20]]","[]","[]","[]"
"mixtecC","[1,2,3,4,5,6,7,8,9]","[10,15,20]","[]","[[[10,15],10],[[15,20],15],[[20,100],20]]","[[[10,15],10],[[15,20],15],[[20,100],20]]","[]","[]","[[60,[60,70],'((2 * 20) + 20)']]"
"french","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[[[10,20],10],[[20,30],20],[[30,70],10],[[70,100],20]]","[[[10,70],10],[[70,100],20]]","[]","[]","[]"
"albanian","[1,2,3,4,5,6,7,8,9]","[10,20]","[]","[[[10,20,20],10],[[20,30,20],20],[[60,100],10]]","[[[10,100],10]]","[]","[]","[[20,[20,30],'(1 * 20)']]"
